model_name,status,accuracy,precision,recall,f1,roc_auc,inference_time_seconds,notes
Logistic Regression,completed,0.765,0.6266666666666667,0.29375,0.4,0.7366051136363635,0.00014620801084674895,
Random Forest,completed,0.7216666666666667,0.472,0.36875,0.41403508771929826,0.7052982954545455,0.05241720800404437,
Gradient Boosting,completed,0.7616666666666667,0.639344262295082,0.24375,0.35294117647058826,0.7154829545454545,0.0036136249836999923,
TabPFN,skipped_native_disabled,,,,,,,TabPFN skipped: optional native model workers are disabled in this sandboxed/headless environment. Set RUN_NATIVE_OPTIONAL_MODELS=1 to attempt them on a machine where the native runtime is stable.
SAP-RPT-1 OSS (HF),skipped_native_disabled,,,,,,,SAP-RPT-1 OSS skipped: optional native model workers are disabled in this sandboxed/headless environment. Set RUN_NATIVE_OPTIONAL_MODELS=1 to attempt them on a machine where the native runtime is stable.
SAP-RPT-1 AI Core,skipped_if_not_configured,,,,,,,SAP-RPT-1 skipped: credentials are not configured. See .env.example for the required variables.
